Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JC216189,04/08/2019 10:30:00 AM,007XX N RIDGEWAY AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENCE,true,false,1112,27,18,1151256,1904612,2019,41.894141342,-87.719934588,"(41.894141342, -87.719934588)"
JC216219,04/08/2019 11:25:00 AM,047XX W CHICAGO AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,1111,28,26,1144676,1904892,2019,41.895036238,-87.744094044,"(41.895036238, -87.744094044)"
JC216147,04/08/2019 02:30:00 AM,030XX N AVONDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1411,33,14,1155364,1920140,2019,41.936669887,-87.704428928,"(41.936669887, -87.704428928)"
JC216227,04/08/2019 11:30:00 AM,027XX N NARRAGANSETT AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,2512,36,06,1133279,1917422,2019,41.929627277,-87.785659069,"(41.929627277, -87.785659069)"
JC216209,04/07/2019 07:13:00 PM,008XX W 116TH ST,1330,CRIMINAL TRESPASS,TO LAND,OTHER,false,false,0524,34,26,1172792,1827933,2019,41.683276036,-87.643100807,"(41.683276036, -87.643100807)"
JC215991,04/08/2019 08:23:00 AM,099XX S HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2232,34,14,1172734,1839039,2019,41.713753878,-87.642987258,"(41.713753878, -87.642987258)"
JC215905,04/08/2019 06:15:00 AM,104XX S VINCENNES AVE,0460,BATTERY,SIMPLE,STREET,false,false,2212,34,08B,1168979,1835673,2019,41.704598843,-87.656836328,"(41.704598843, -87.656836328)"
JC216200,04/03/2019 12:00:00 AM,022XX N LINCOLN AVE,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,OTHER,false,false,1812,43,10,1171527,1915238,2019,41.922877853,-87.645172746,"(41.922877853, -87.645172746)"
JC216231,04/08/2019 10:30:00 AM,038XX W 80TH PL,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0834,18,06,1152263,1850934,2019,41.746821833,-87.717648805,"(41.746821833, -87.717648805)"
JC216128,04/07/2019 02:00:00 AM,067XX S WENTWORTH AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0722,6,03,1176121,1860384,2019,41.772252026,-87.629943858,"(41.772252026, -87.629943858)"
JC216223,04/08/2019 11:37:00 AM,003XX S WESTERN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1125,27,14,1160451,1898456,2019,41.877063385,-87.686334627,"(41.877063385, -87.686334627)"
JC216117,04/08/2019 10:03:00 AM,0000X S STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,0112,42,06,1176389,1900278,2019,41.88171846,-87.627760426,"(41.88171846, -87.627760426)"
JC216216,04/07/2019 10:30:00 PM,065XX N HOYNE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2412,50,07,1161115,1943351,2019,42.000244232,-87.682645407,"(42.000244232, -87.682645407)"
JC216056,04/07/2019 05:00:00 PM,043XX W WILCOX ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,false,false,1115,28,15,1147500,1898984,2019,41.878770335,-87.733873711,"(41.878770335, -87.733873711)"
JC216282,04/08/2019 12:15:00 PM,010XX W LAKE ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,1224,27,06,1169550,1901627,2019,41.885571756,-87.652833584,"(41.885571756, -87.652833584)"
JC216273,04/07/2019 05:45:00 PM,055XX S KEDZIE AVE,0890,THEFT,FROM BUILDING,ATHLETIC CLUB,false,false,0824,14,06,1155994,1867615,2019,41.792522974,-87.703529737,"(41.792522974, -87.703529737)"
JC216210,04/05/2019 03:15:00 AM,060XX N LINCOLN AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,2413,50,05,1154245,1939850,2019,41.990777803,-87.708012767,"(41.990777803, -87.708012767)"
